asset,feature,factor_bucket,5_zscore,10_zscore,20_zscore,5_mean,10_mean,20_mean,5,10,20,5_count,10_count,20_count
INDEXNYSEGIS:MID,Change_in_Lev_Money_Spread_All,2.0,0.325489389567,0.299889043001,0.367831021772,0.00939861285859,0.0165645176823,0.0206382345408,0.0288753279211,0.0552354881542,0.0561079227125,216,216,216
INDEXNYSEGIS:MID,Change_in_Lev_Money_Spread_All,3.0,0.0504337969596,0.07137818046,0.119089388278,0.00162598287786,0.00263831235238,0.00637188259791,0.0322399457484,0.0369624489637,0.0535050409616,1250,1250,1250
INDEXNYSEGIS:MID,Change_in_Lev_Money_Spread_All,4.0,-0.12956152595,-0.0333700167837,-0.0210319997493,-0.00584088395037,-0.00223943389579,-0.00198369893653,0.0450819323679,0.0671091630041,0.0943181323779,225,225,225
INDEXNYSEGIS:MID,Change_in_Lev_Money_Spread_All,5.0,0.0415453385848,-0.0633689559551,-0.0644251064346,0.00109413689454,-0.00251782636817,-0.0046960225725,0.0263359725016,0.0397328049708,0.0728911884262,84,84,84
INDEXNYSEGIS:MID,Change_in_Other_Rept_Long_All,1.0,0.373136592619,0.237434171041,-0.0627700744323,0.00852153601623,0.00833371269224,-0.00295715675471,0.0228375779401,0.0350990451615,0.0471109327406,88,88,88
INDEXNYSEGIS:MID,Change_in_Other_Rept_Long_All,2.0,0.136909984893,0.140503181232,0.199743289472,0.00381939520792,0.00676262579214,0.0136246672988,0.027897126794,0.0481314781119,0.0682108887603,286,286,286
INDEXNYSEGIS:MID,Change_in_Other_Rept_Long_All,3.0,0.00458876511986,-0.013932869349,-0.0320920185982,0.000178966793895,-0.000620304827655,-0.00198924316119,0.0390010796414,0.0445209678003,0.0619856041496,909,909,909
INDEXNYSEGIS:MID,Change_in_Other_Rept_Long_All,4.0,0.136043125078,0.218085790456,0.437817319653,0.00380767776942,0.0098950473911,0.0228748671378,0.0279887555305,0.0453722701071,0.05224751537,446,446,446
INDEXNYSEGIS:MID,Change_in_Other_Rept_Long_All,5.0,0.0076743172674,0.0778924380863,0.121883071953,0.000207511533324,0.00241425303502,0.00711942095315,0.0270397386626,0.0309947036495,0.0584118929648,162,162,162
INDEXNYSEGIS:MID,Change_in_Other_Rept_Short_All,1.0,0.261055951915,0.379009699057,0.273535820481,0.0159315600993,0.0174111940647,0.0144580533969,0.0610273773971,0.0459386504042,0.0528561611107,95,95,95
INDEXNYSEGIS:MID,Change_in_Other_Rept_Short_All,2.0,-0.0292883959329,0.138343538946,0.274620237716,-0.000892364155288,0.00537269020121,0.0163122267128,0.0304681812323,0.0388358592107,0.0593992156168,368,368,368
INDEXNYSEGIS:MID,Change_in_Other_Rept_Short_All,3.0,0.0225172603435,-0.030186163318,-0.0584214325626,0.000774757025059,-0.00158944687987,-0.00403144694514,0.0344072508485,0.0526548161526,0.0690063007411,859,859,859
INDEXNYSEGIS:MID,Change_in_Other_Rept_Short_All,4.0,0.104288137647,0.275584676276,0.375814918634,0.00280167927301,0.00812600272328,0.0167123039383,0.0268647934101,0.0294864098871,0.0444695064235,505,505,505
INDEXNYSEGIS:MID,Change_in_Other_Rept_Short_All,5.0,0.342810376813,0.288123724412,0.268171503303,0.00736393203786,0.00841266871229,0.0129785139282,0.0214810651483,0.0291981117815,0.0483963201471,64,64,64
INDEXNYSEGIS:MID,Change_in_Other_Rept_Spread_All,1.0,0.225826120803,0.0357762430044,0.628441596604,0.0087009991073,0.00151565873754,0.0350330244278,0.0385296398679,0.0423649497616,0.0557458714017,33,33,33
INDEXNYSEGIS:MID,Change_in_Other_Rept_Spread_All,2.0,1.20615051163,0.852449649909,0.884041867624,0.0291140366726,0.0363891621529,0.0453473536601,0.0241379797894,0.0426877554079,0.0512954819459,20,20,20
INDEXNYSEGIS:MID,Change_in_Other_Rept_Spread_All,3.0,-0.0218798420176,-0.0198696180769,-0.033120521645,-0.000669019074278,-0.000818927400251,-0.00195739858078,0.0305769609186,0.0412150549185,0.0590992678727,1306,1306,1306
INDEXNYSEGIS:MID,Change_in_Other_Rept_Spread_All,4.0,0.195553437982,0.322186141753,0.455819507427,0.00831255115771,0.0166564993706,0.0290499826435,0.0425078241707,0.0516983731205,0.0637313282344,409,409,409
INDEXNYSEGIS:MID,Change_in_Other_Rept_Spread_All,5.0,0.0778898281412,0.0144771583966,0.324465054549,0.00241735381081,0.000765543554247,0.0209699831382,0.0310355519906,0.0528794072202,0.0646294041351,45,45,45
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Long_All,1.0,-0.412345695511,-0.344854569343,0.278098698531,-0.0114416263962,-0.0115560955564,0.0142009968973,0.0277476557189,0.0335100549151,0.0510645931545,52,52,52
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Long_All,2.0,-0.183742722813,-0.207220721041,-0.18878711015,-0.00699374763667,-0.0107115411335,-0.0111614602181,0.038062719054,0.0516914576866,0.0591219401009,154,154,154
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Long_All,3.0,0.0897872035945,0.147311841682,0.148568420295,0.00289819867093,0.00647006932791,0.00913079937761,0.0322785269493,0.0439209044842,0.0614585479166,1169,1169,1169
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Long_All,4.0,0.133589261125,0.144245645666,0.170330015579,0.00478006098947,0.00565969776289,0.0091351664507,0.0357817757897,0.0392365241721,0.0536321588395,429,429,429
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Long_All,5.0,-0.0118780759458,-0.185688983907,-0.0592301988909,-0.000343385448786,-0.0095759350332,-0.00492802169512,0.0289091811125,0.0515697529907,0.0832011674348,87,87,87
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Short_All,1.0,-0.198764891049,-0.379073539397,0.318731208638,-0.00579639475899,-0.0129253820675,0.0163908340559,0.0291620654352,0.0340972943879,0.0514252561771,48,48,48
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Short_All,2.0,-0.201762925184,-0.0953741690758,0.0262544017829,-0.00732288270659,-0.00458916846397,0.00146262449757,0.0362944911704,0.0481175197482,0.0557096866904,236,236,236
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Short_All,3.0,0.142456004265,0.149597723608,0.132773040477,0.00463444116603,0.006510696648,0.00816572050057,0.0325324382776,0.0435213617627,0.0615013444842,1260,1260,1260
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Short_All,4.0,-0.0195296384196,0.122739900366,0.111687790357,-0.000710662977162,0.00496273615876,0.00634853329982,0.0363889469889,0.0404329492201,0.0568417844023,242,242,242
INDEXNYSEGIS:MID,Change_in_Tot_Rept_Short_All,5.0,0.0246609090346,-0.155194844307,0.0291836113169,0.000721676253032,-0.00755311520891,0.00215854906665,0.0292639761178,0.0486685961935,0.0739644262396,105,105,105
INDEXNYSEGIS:MID,Change_in_NonRept_Long_All,1.0,0.233515918681,0.268863901371,0.245849533584,0.0066244110317,0.0085223518937,0.014071284254,0.0283681346828,0.0316976427487,0.0572353506181,128,128,128
INDEXNYSEGIS:MID,Change_in_NonRept_Long_All,2.0,-0.0120767145725,-0.019610702551,0.0312573366027,-0.000457764960568,-0.000981986160358,0.00211782469068,0.0379047594294,0.0500739918828,0.0677544832944,546,546,546
INDEXNYSEGIS:MID,Change_in_NonRept_Long_All,3.0,0.041930885131,0.0625286285029,0.0629302936749,0.00119987653654,0.00280441102376,0.00378914335783,0.0286155785359,0.0448500325515,0.0602117539353,830,830,830
