date,portfolio_return_y,index_return_y,excess_return,forward_period,factor_type,factor_top_count,minimum_sample_size,factor_threshold,minimum_asset_pct,asset_pct
2016-11-22,-0.109356251396,-0.125776266091,0.0164200146954,10,zscore,10,200,1.0,0.5,0.5
2016-11-22,-0.106122077052,-0.125776266091,0.0196541890389,10,zscore,10,200,1.2,0.5,0.5
2016-11-22,-0.115729176023,-0.0464265173863,-0.0693026586372,20,mean,5,10,0.01,0.5,0.5
2016-11-22,-0.121225580705,-0.055789500453,-0.0654360802516,20,mean,5,10,0.03,0.5,0.5
2016-11-22,-0.115729176023,-0.0464265173863,-0.0693026586372,20,mean,5,30,0.01,0.5,0.5
2016-11-22,-0.121225580705,-0.055789500453,-0.0654360802516,20,mean,5,30,0.03,0.5,0.5
2016-11-22,-0.115729176023,-0.0464265173863,-0.0693026586372,20,mean,5,100,0.01,0.5,0.5
2016-11-22,-0.121225580705,-0.055789500453,-0.0654360802516,20,mean,5,100,0.03,0.5,0.5
2016-11-22,-0.115729176023,-0.0464265173863,-0.0693026586372,20,mean,5,200,0.01,0.5,0.5
2016-11-22,-0.121225580705,-0.055789500453,-0.0654360802516,20,mean,5,200,0.03,0.5,0.5
2016-11-22,-0.11300393736,-0.0464265173863,-0.0665774199742,20,mean,10,10,0.01,0.5,0.5
2016-11-22,-0.122587950668,-0.055789500453,-0.0667984502155,20,mean,10,10,0.03,0.5,0.5
2016-11-22,-0.11300393736,-0.0464265173863,-0.0665774199742,20,mean,10,30,0.01,0.5,0.5
2016-11-22,-0.122587950668,-0.055789500453,-0.0667984502155,20,mean,10,30,0.03,0.5,0.5
2016-11-22,-0.11300393736,-0.0464265173863,-0.0665774199742,20,mean,10,100,0.01,0.5,0.5
2016-11-22,-0.122587950668,-0.055789500453,-0.0667984502155,20,mean,10,100,0.03,0.5,0.5
2016-11-22,-0.11300393736,-0.0464265173863,-0.0665774199742,20,mean,10,200,0.01,0.5,0.5
2016-11-22,-0.122587950668,-0.055789500453,-0.0667984502155,20,mean,10,200,0.03,0.5,0.5
2016-11-22,-0.0541020882561,-0.0464265173863,-0.0076755708699,20,zscore,5,10,0.01,0.5,0.5
2016-11-22,-0.0541020882561,-0.0464265173863,-0.0076755708699,20,zscore,5,10,0.03,0.5,0.5
2016-11-22,-0.0516738808948,-0.0464265173863,-0.00524736350858,20,zscore,5,10,0.8,0.5,0.5
2016-11-22,-0.0785301393479,-0.0662258370651,-0.0123043022828,20,zscore,5,10,1.0,0.5,0.5
2016-11-22,-0.103139660634,-0.104682827696,0.00154316706212,20,zscore,5,10,1.2,0.5,0.5
2016-11-22,-0.0541020882561,-0.0464265173863,-0.0076755708699,20,zscore,5,30,0.01,0.5,0.5
2016-11-22,-0.0541020882561,-0.0464265173863,-0.0076755708699,20,zscore,5,30,0.03,0.5,0.5
2016-11-22,-0.0516738808948,-0.0464265173863,-0.00524736350858,20,zscore,5,30,0.8,0.5,0.5
2016-11-22,-0.0785301393479,-0.0662258370651,-0.0123043022828,20,zscore,5,30,1.0,0.5,0.5
2016-11-22,-0.103139660634,-0.104682827696,0.00154316706212,20,zscore,5,30,1.2,0.5,0.5
2016-11-22,-0.0541020882561,-0.0464265173863,-0.0076755708699,20,zscore,5,100,0.01,0.5,0.5
2016-11-22,-0.0541020882561,-0.0464265173863,-0.0076755708699,20,zscore,5,100,0.03,0.5,0.5
2016-11-22,-0.0516738808948,-0.0464265173863,-0.00524736350858,20,zscore,5,100,0.8,0.5,0.5
2016-11-22,-0.0785301393479,-0.0662258370651,-0.0123043022828,20,zscore,5,100,1.0,0.5,0.5
2016-11-22,-0.103139660634,-0.104682827696,0.00154316706212,20,zscore,5,100,1.2,0.5,0.5
2016-11-22,-0.0541020882561,-0.0464265173863,-0.0076755708699,20,zscore,5,200,0.01,0.5,0.5
2016-11-22,-0.0541020882561,-0.0464265173863,-0.0076755708699,20,zscore,5,200,0.03,0.5,0.5
2016-11-22,-0.0516738808948,-0.0464265173863,-0.00524736350858,20,zscore,5,200,0.8,0.5,0.5
2016-11-22,-0.0785301393479,-0.0662258370651,-0.0123043022828,20,zscore,5,200,1.0,0.5,0.5
2016-11-22,-0.103139660634,-0.104682827696,0.00154316706212,20,zscore,5,200,1.2,0.5,0.5
2016-11-22,-0.0584183794289,-0.0464265173863,-0.0119918620427,20,zscore,10,10,0.01,0.5,0.5
2016-11-22,-0.0584183794289,-0.0464265173863,-0.0119918620427,20,zscore,10,10,0.03,0.5,0.5
2016-11-22,-0.055291676975,-0.0464265173863,-0.00886515958873,20,zscore,10,10,0.8,0.5,0.5
2016-11-22,-0.088257601833,-0.0662258370651,-0.0220317647679,20,zscore,10,10,1.0,0.5,0.5
2016-11-22,-0.112774646451,-0.104682827696,-0.0080918187552,20,zscore,10,10,1.2,0.5,0.5
2016-11-22,-0.0584183794289,-0.0464265173863,-0.0119918620427,20,zscore,10,30,0.01,0.5,0.5
2016-11-22,-0.0584183794289,-0.0464265173863,-0.0119918620427,20,zscore,10,30,0.03,0.5,0.5
